spec_function,source_path,source_line,definition,doc_comment,math_interpretation,informal_interpretation
edwards_sub,curve25519-dalek/src/specs/edwards_specs.rs,757,"pub open spec fn edwards_sub(x1: nat, y1: nat, x2: nat, y2: nat) -> (nat, nat) {\n    edwards_add(x1, y1, field_neg(x2), y2)\n}","Affine Edwards subtraction for twisted Edwards curves.\nGiven (x1,y1) and (x2,y2) on the curve, returns (x3,y3) = (x1,y1) - (x2,y2).\nSubtraction is defined as addition with the negation of the second point.\nFor twisted Edwards curves, the negation of (x, y) is (-x, y).","(x1,y1) - (x2,y2) = (x1,y1) + (-x2,y2)",Subtracts two affine Edwards points.
fe51_limbs_bounded,curve25519-dalek/src/specs/field_specs.rs,27,"pub open spec fn fe51_limbs_bounded(fe: &FieldElement51, bit_limit: u64) -> bool {\n    forall|i: int| 0 <= i < 5 ==> fe.limbs[i] < (1u64 << bit_limit)\n}",Spec predicate: all limbs are bounded by a given bit limit,forall i in [0..5). limb[i] < 2^b,Checks that a field element’s radix-2^51 limbs are within the given bound.
group_order,curve25519-dalek/src/specs/scalar52_specs.rs,69,pub open spec fn group_order() -> nat {\n    pow2(252) + 27742317777372353535851937790883648493nat\n},,L = 2^252 + 27742317777372353535851937790883648493,Returns the Curve25519/Ed25519 scalar field modulus (group order).
is_canonical_scalar,curve25519-dalek/src/specs/scalar_specs.rs,30,pub open spec fn is_canonical_scalar(s: &Scalar) -> bool {\n    // Invariant #2: Scalar is reduced (< group order)\n    u8_32_as_nat(&s.bytes)\n        < group_order()\n    // Invariant #1: High bit is clear (< 2^255)\n     && s.bytes[31] <= 127\n},"Checks if a Scalar satisfies the canonical representation invariants:\n- Invariant #1: High bit (bit 255) is clear, ensuring s < 2^255\n- Invariant #2: Scalar is reduced modulo group order, i.e., s < ℓ",0 <= s < L and s < 2^255,Predicate that a `Scalar` is in canonical form (reduced modulo the group order).
is_clamped_integer,curve25519-dalek/src/specs/scalar_specs.rs,90,"pub open spec fn is_clamped_integer(bytes: &[u8; 32]) -> bool {\n    // The 3 least significant bits are cleared (divisible by 8)\n    bytes[0] & 0b0000_0111\n        == 0\n    // Bit 255 (MSB) is cleared, making it < 2^255\n     && bytes[31] & 0b1000_0000 == 0\n    // Bit 254 is set, so result >= 2^254\n     && bytes[31] & 0b0100_0000\n        == 0b0100_0000\n    // MSB cleared implies bytes[31] <= 127 (needed for mul_req precondition)\n     && bytes[31] <= 127\n}","Returns true iff a byte array represents a clamped integer for X25519.\nA clamped integer has:\n- The 3 least significant bits cleared (divisible by 8)\n- Bit 255 (MSB) cleared (< 2^255), which means bytes[31] <= 127\n- Bit 254 set (>= 2^254)\nThis creates values in range: 2^254 + 8*{0, 1, 2, ..., 2^251 - 1}","bits 0-2 clear, bit 254 set, bit 255 clear",Checks that a 32-byte array satisfies X25519 clamping (bit constraints).
is_equal_to_minus_one,curve25519-dalek/src/specs/montgomery_specs.rs,258,"pub open spec fn is_equal_to_minus_one(u: nat) -> bool {\n    u == field_sub(0, 1)  // u == -1\n\n}",Check if a Montgomery u-coordinate is invalid for conversion to Edwards\nu = -1 is invalid because it corresponds to a point on the twist,u = p - 1 (i.e. u = -1 mod p),Checks whether a field element equals -1 modulo the prime field.
is_identity_edwards_point,curve25519-dalek/src/specs/edwards_specs.rs,324,pub open spec fn is_identity_edwards_point(point: crate::edwards::EdwardsPoint) -> bool {\n    let x = fe51_as_canonical_nat(&point.X);\n    let y = fe51_as_canonical_nat(&point.Y);\n    let z = fe51_as_canonical_nat(&point.Z);\n\n    z != 0 && x == 0 && y == z\n},"Check if an EdwardsPoint represents the identity point\nThe identity point is (0, 1) in affine coordinates\nIn projective coordinates (X:Y:Z:T), this means X/Z = 0 and Y/Z = 1\nWhich is equivalent to X ≡ 0 (mod p) and Y ≡ Z (mod p) with Z ≠ 0","X = 0, Y = Z, Z != 0 (projective identity)",Checks whether an Edwards point is the identity (neutral element).
is_in_even_subgroup,curve25519-dalek/src/specs/ristretto_specs.rs,346,"pub open spec fn is_in_even_subgroup(point: EdwardsPoint) -> bool {\n    exists|q: EdwardsPoint|\n        edwards_point_as_affine(point) == edwards_scalar_mul(\n            #[trigger] edwards_point_as_affine(q),\n            2,\n        )\n}",Point is in the even subgroup 2E = {2Q : Q ∈ E}; valid Ristretto points must lie in 2E.,P in 2E = {2Q : Q in E(F_p)},Predicate that an Edwards point lies in the even (torsion-free) subgroup used by Ristretto decoding.
is_valid_edwards_point,curve25519-dalek/src/specs/edwards_specs.rs,356,"pub open spec fn is_valid_edwards_point(point: crate::edwards::EdwardsPoint) -> bool {\n    let x = fe51_as_canonical_nat(&point.X);\n    let y = fe51_as_canonical_nat(&point.Y);\n    let z = fe51_as_canonical_nat(&point.Z);\n    let t = fe51_as_canonical_nat(&point.T);\n\n    math_is_valid_extended_edwards_point(x, y, z, t)\n}",Check if an EdwardsPoint in extended coordinates is valid\nAn EdwardsPoint (X:Y:Z:T) is valid if:\n1. Z ≠ 0\n2. The projective curve equation holds: (Y² - X²)·Z² = Z⁴ + d·X²·Y²\n3. The Segre relation holds: X·Y = Z·T\n\nExtended coordinates (X:Y:Z:T) with X·Y = Z·T enable faster point arithmetic.\nReference: [HWCD2008] Section 3 for extended twisted Edwards coordinates,(X:Y:Z:T) satisfies curve eq + XY = ZT,Checks that an Edwards point satisfies the curve equation (mathematically valid).
is_well_formed_edwards_point,curve25519-dalek/src/specs/edwards_specs.rs,374,"pub open spec fn is_well_formed_edwards_point(point: crate::edwards::EdwardsPoint) -> bool {\n    is_valid_edwards_point(point) && edwards_point_limbs_bounded(point) && sum_of_limbs_bounded(\n        &point.Y,\n        &point.X,\n        u64::MAX,\n    )\n}",A well-formed EdwardsPoint: mathematically valid and properly bounded.,valid on curve + limbs bounded,Stronger validity predicate: point is valid and its internal representation satisfies required bounds.
math_edwards_identity,curve25519-dalek/src/specs/edwards_specs.rs,311,"pub open spec fn math_edwards_identity() -> (nat, nat) {\n    (0, 1)\n}","The identity point in affine coordinates (0, 1)","O = (0, 1) in affine coordinates",The affine identity point of the Edwards group.
field_add,curve25519-dalek/src/specs/field_specs.rs,110,"pub open spec fn field_add(a: nat, b: nat) -> nat {\n    (a + b) % p()\n}",Math-level field addition,"(a + b) mod p, p = 2^255-19",Math-level field addition
field_inv,curve25519-dalek/src/specs/field_specs.rs,141,"pub open spec fn field_inv(a: nat) -> nat {\n    if a % p() == 0 {\n        0  // Convention: inverse of 0 is defined as 0\n\n    } else {\n        spec_mod_inverse(a, p())\n    }\n}","Math-level field inversion: returns w such that (a * w) % p == 1\n\nFor non-zero elements (a % p() != 0), this returns the unique multiplicative\ninverse modulo p. By convention, when a % p() == 0, this returns 0.\n\nThe existence of inverses for non-zero elements is guaranteed by field_inv_property,\nwhich relies on p being prime.","a^(-1) mod p, p = 2^255-19","Math-level field inversion: returns w such that (a * w) % p == 1\n\nFor non-zero elements (a % p() != 0), this returns the unique multiplicative\ninverse modulo p. By convention, when a % p() == 0, this returns 0.\n\nThe existence of inverses for non-zero elements is guaranteed by field_inv_property,\nwhich relies on p being prime."
field_mul,curve25519-dalek/src/specs/field_specs.rs,120,"pub open spec fn field_mul(a: nat, b: nat) -> nat {\n    (a * b) % p()\n}",Math-level field multiplication,"(a * b) mod p, p = 2^255-19",Math-level field multiplication
field_neg,curve25519-dalek/src/specs/field_specs.rs,125,pub open spec fn field_neg(a: nat) -> nat {\n    (p() - (a % p())) as nat % p()\n},Math-level field negation,"-a mod p, p = 2^255-19",Math-level field negation
field_square,curve25519-dalek/src/specs/field_specs.rs,130,pub open spec fn field_square(a: nat) -> nat {\n    (a * a) % p()\n},Math-level field squaring,"a^2 mod p, p = 2^255-19",Math-level field squaring
field_sub,curve25519-dalek/src/specs/field_specs.rs,115,"pub open spec fn field_sub(a: nat, b: nat) -> nat {\n    (((a % p()) + p()) - (b % p())) as nat % p()\n}",Math-level field subtraction,"(a - b) mod p, p = 2^255-19",Math-level field subtraction
nat_invsqrt,curve25519-dalek/src/specs/field_specs.rs,510,"pub open spec fn nat_invsqrt(a: nat) -> nat {\n    if a % p() == 0 {\n        0\n    } else {\n        choose|r: nat|\n            #![auto]\n            !is_negative(r) && (is_sqrt_ratio(1, a, r) || is_sqrt_ratio_times_i(\n                1,\n                a,\n                r,\n            ))\n    }\n}",Spec-only model of inverse square root with a canonical sign choice.\n\nReturns a nonnegative r such that either r^2 * a = 1 (mod p) or r^2 * a = i (mod p).,1/sqrt(a) mod p (canonical sign),Spec-only model of inverse square root with a canonical sign choice.\n\nReturns a nonnegative r such that either r^2 * a = 1 (mod p) or r^2 * a = i (mod p).
is_negative,curve25519-dalek/src/specs/field_specs.rs,503,pub open spec fn is_negative(a: nat) -> bool {\n    (a % p()) % 2 == 1\n},Spec predicate: a field element is negative if its canonical low bit is 1.,a mod p is odd (sign convention),Spec predicate: a field element is negative if its canonical low bit is 1.
is_sqrt_ratio,curve25519-dalek/src/specs/field_specs.rs,491,"pub open spec fn is_sqrt_ratio(u: nat, v: nat, r: nat) -> bool {\n    (r * r * v) % p() == u\n}",Spec function: r² * v = u (mod p) — math version operating on nat values\nThis is the mathematical equivalent of fe51_is_sqrt_ratio but without FieldElement wrappers.\nUse this when working with mathematical values directly in lemmas.,r^2 * v = u (mod p),Spec function: r² * v = u (mod p) — math version operating on nat values\nThis is the mathematical equivalent of fe51_is_sqrt_ratio but without FieldElement wrappers.\nUse this when working with mathematical values directly in lemmas.
is_sqrt_ratio_times_i,curve25519-dalek/src/specs/field_specs.rs,498,"pub open spec fn is_sqrt_ratio_times_i(u: nat, v: nat, r: nat) -> bool {\n    (r * r * v) % p() == (sqrt_m1() * u) % p()\n}",Spec function: r² * v = i*u (mod p) — math version operating on nat values\nUsed for the nonsquare case in sqrt_ratio_i.\nThis is the mathematical equivalent of fe51_is_sqrt_ratio_times_i.,"r^2 * v = i*u (mod p), i = sqrt(-1)",Spec function: r² * v = i*u (mod p) — math version operating on nat values\nUsed for the nonsquare case in sqrt_ratio_i.\nThis is the mathematical equivalent of fe51_is_sqrt_ratio_times_i.
math_is_valid_extended_edwards_point,curve25519-dalek/src/specs/edwards_specs.rs,341,"pub open spec fn math_is_valid_extended_edwards_point(x: nat, y: nat, z: nat, t: nat) -> bool {\n    z != 0 && math_on_edwards_curve_projective(x, y, z) && field_mul(x, y) == field_mul(\n        z,\n        t,\n    )\n}","Math-level validity predicate for an Edwards point in **extended coordinates** (X:Y:Z:T).\n\nThis is the ""unpacked"" version of `is_valid_edwards_point` that operates directly on the\nmathematical values `(x, y, z, t)` (all reduced mod p via `field_*`).\n\nAn (X:Y:Z:T) tuple is valid iff:\n1. Z ≠ 0\n2. The projective curve equation holds: (Y² - X²)·Z² = Z⁴ + d·X²·Y²\n3. The Segre relation holds: X·Y = Z·T","Z != 0, curve eq holds, XY = ZT","Math-level validity predicate for an Edwards point in **extended coordinates** (X:Y:Z:T).\n\nThis is the ""unpacked"" version of `is_valid_edwards_point` that operates directly on the\nmathematical values `(x, y, z, t)` (all reduced mod p via `field_*`).\n\nAn (X:Y:Z:T) tuple is valid iff:\n1. Z ≠ 0\n2. The projective curve equation holds: (Y² - X²)·Z² = Z⁴ + d·X²·Y²\n3. The Segre relation holds: X·Y = Z·T"
math_is_valid_y_coordinate,curve25519-dalek/src/specs/edwards_specs.rs,285,"pub open spec fn math_is_valid_y_coordinate(y: nat) -> bool {\n    let d = fe51_as_canonical_nat(&EDWARDS_D);\n    let y2 = field_square(y);\n\n    // Compute u = y² - 1\n    let u = field_sub(y2, 1);\n\n    // Compute v = d·y² + 1\n    let v = field_add(field_mul(d, y2), 1);\n\n    if u % p() == 0 {\n        // If u = 0, then y² = 1, so y = ±1, which gives valid points (x=0, y=±1)\n        true\n    } else if v % p() == 0 {\n        // If v = 0 but u ≠ 0, division by zero case - invalid\n        false\n    } else {\n        // Check if there exists r such that r² * v ≡ ±u (mod p)\n        // This is what sqrt_ratio_i determines\n        exists|r: nat|\n            r < p() && (#[trigger] field_mul(field_square(r), v) == u % p()\n                || #[trigger] field_mul(field_square(r), v) == field_neg(u))\n    }\n}","Spec function: Check if a y-coordinate corresponds to a valid point on the curve.\nMirrors the sqrt_ratio_i computation from field.rs to determine if u/v is a square.\nFrom the curve equation: x² = (y² - 1) / (d·y² + 1)\nThis computes the same check as sqrt_ratio_i(&u, &v) where:\nu = y² - 1\nv = d·y² + 1\nReturns true if u/v is a square (i.e., x can be recovered)","exists x. (x, y) in E(F_p)",Checks whether a field element can be a y-coordinate of some Edwards curve point.
math_on_edwards_curve_projective,curve25519-dalek/src/specs/edwards_specs.rs,260,"pub open spec fn math_on_edwards_curve_projective(x: nat, y: nat, z: nat) -> bool {\n    let d = fe51_as_canonical_nat(&EDWARDS_D);\n\n    // Compute X², Y², Z²\n    let x2 = field_square(x);\n    let y2 = field_square(y);\n    let z2 = field_square(z);\n    let z4 = field_square(z2);\n\n    // LHS: (-X² + Y²)·Z² = (Y² - X²)·Z²\n    let lhs = field_mul(field_sub(y2, x2), z2);\n\n    // RHS: Z⁴ + d·X²·Y²\n    let rhs = field_add(z4, field_mul(d, field_mul(x2, y2)));\n\n    lhs == rhs\n}","Homogenized Edwards curve equation for projective coordinates\nA projective point (X:Y:Z) represents the affine point (X/Z, Y/Z)\nThe homogenized curve equation is: (-X² + Y²)·Z² = Z⁴ + d·X²·Y²\nThis is equivalent to the affine equation when Z ≠ 0\n\nReference: [BBJLP2008] Section 3",(Y^2 - X^2)Z^2 = Z^4 + dX^2Y^2,"Homogenized Edwards curve equation for projective coordinates\nA projective point (X:Y:Z) represents the affine point (X/Z, Y/Z)\nThe homogenized curve equation is: (-X² + Y²)·Z² = Z⁴ + d·X²·Y²\nThis is equivalent to the affine equation when Z ≠ 0\n\nReference: [BBJLP2008] Section 3"
montgomery_corresponds_to_edwards,curve25519-dalek/src/specs/montgomery_specs.rs,213,"pub open spec fn montgomery_corresponds_to_edwards(\n    montgomery: crate::montgomery::MontgomeryPoint,\n    edwards: crate::edwards::EdwardsPoint,\n) -> bool {\n    let u = spec_montgomery(montgomery);\n    let (x, y) = crate::specs::edwards_specs::edwards_point_as_affine(edwards);\n    let denominator = field_sub(1, y);\n\n    if denominator == 0 {\n        // Special case: Edwards identity (x=0, y=1) maps to Montgomery u=0\n        u == 0\n    } else {\n        // General case: u = (1+y)/(1-y)\n        let numerator = field_add(1, y);\n        u == field_mul(numerator, field_inv(denominator))\n    }\n}",Check if a MontgomeryPoint corresponds to an EdwardsPoint\nvia the birational map u = (1+y)/(1-y)\nSpecial case: Edwards identity (y=1) maps to u=0,"u = (1+y)/(1-y), birational map",Relates a Montgomery u-coordinate representation to an Edwards point under the standard birational map.
p,curve25519-dalek/src/specs/field_specs_u64.rs,11,pub open spec fn p() -> nat {\n    (pow2(255) - 19) as nat\n},,p = 2^255 - 19 (Curve25519 prime),
scalar_as_nat,curve25519-dalek/src/specs/scalar_specs.rs,17,pub open spec fn scalar_as_nat(s: &Scalar) -> nat {\n    u8_32_as_nat(&s.bytes)\n},,LE(s.bytes) -> nat,Interprets a `Scalar`’s canonical byte encoding as a natural number.
u8_32_from_nat,curve25519-dalek/src/specs/field_specs.rs,525,pub open spec fn u8_32_from_nat(n: nat) -> [u8; 32] {\n    choose|b: [u8; 32]| u8_32_as_nat(&b) == n % pow2(256)\n},Canonical little-endian bytes for a nat (mod 2^256).,n mod 2^256 -> [u8;32] little-endian,Canonical little-endian bytes for a nat (mod 2^256).
spec_clamp_integer,curve25519-dalek/src/specs/scalar_specs.rs,112,"pub open spec fn spec_clamp_integer(bytes: [u8; 32]) -> [u8; 32] {\n    // Build the result array element by element\n    [\n        bytes[0] & 0b1111_1000,  // Clear low 3 bits of byte 0\n        bytes[1],\n        bytes[2],\n        bytes[3],\n        bytes[4],\n        bytes[5],\n        bytes[6],\n        bytes[7],\n        bytes[8],\n        bytes[9],\n        bytes[10],\n        bytes[11],\n        bytes[12],\n        bytes[13],\n        bytes[14],\n        bytes[15],\n        bytes[16],\n        bytes[17],\n        bytes[18],\n        bytes[19],\n        bytes[20],\n        bytes[21],\n        bytes[22],\n        bytes[23],\n        bytes[24],\n        bytes[25],\n        bytes[26],\n        bytes[27],\n        bytes[28],\n        bytes[29],\n        bytes[30],\n        (bytes[31] & 0b0111_1111) | 0b0100_0000,  // Clear bit 7 and set bit 6 of byte 31\n    ]\n}","Spec function for clamping a byte array to produce a valid X25519 scalar.\nThis is the spec-level version of the `clamp_integer` exec function.\n\nThe clamping operation:\n- Clears the 3 least significant bits (bits 0-2 of byte 0)\n- Clears bit 255 (bit 7 of byte 31)\n- Sets bit 6 of byte 31)\n\nThis produces a value in the range [2^254, 2^255) that is divisible by 8.","clamp: clear bits 0-2 and 255, set bit 254",Specification function computing the clamped 32-byte scalar used in X25519.
spec_ed25519_basepoint,curve25519-dalek/src/specs/edwards_specs.rs,75,"pub open spec fn spec_ed25519_basepoint() -> (nat, nat) {\n    (u64_5_as_nat(ED25519_BASEPOINT_POINT.X.limbs), u64_5_as_nat(ED25519_BASEPOINT_POINT.Y.limbs))\n}","The Ed25519 basepoint B in affine coordinates (x, y).\nThis is the generator point of the prime-order subgroup.\n\nReferences the actual constant ED25519_BASEPOINT_POINT from constants.rs.\nThe y-coordinate is 4/5 mod p (the first 255 bits of the compressed form).\nThe x-coordinate is the positive square root satisfying the curve equation.\n\nReference: [RFC8032] Section 5.1","B = (x_B, y_B), Ed25519 generator",Returns the Ed25519 basepoint in affine coordinates (spec-level).
spec_edwards_point,curve25519-dalek/src/specs/edwards_specs.rs,384,"pub open spec fn spec_edwards_point(point: crate::edwards::EdwardsPoint) -> (nat, nat, nat, nat) {\n    let x = fe51_as_canonical_nat(&point.X);\n    let y = fe51_as_canonical_nat(&point.Y);\n    let z = fe51_as_canonical_nat(&point.Z);\n    let t = fe51_as_canonical_nat(&point.T);\n    (x, y, z, t)\n}","Returns the field element values (X, Y, Z, T) from an EdwardsPoint.\nAn EdwardsPoint (X:Y:Z:T) is in extended projective coordinates.","(X, Y, Z, T) field values of extended point","Returns the field element values (X, Y, Z, T) from an EdwardsPoint.\nAn EdwardsPoint (X:Y:Z:T) is in extended projective coordinates."
